ING,aromatic,sweet,sour,spicy,creamy,bitter ,salty,fruity,nutty,alcoholic,drink,fizzy_drink,fruit juice,dairy,syrups,
creme de cacao,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,
absolut kurant,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
lager,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,
malibu rum,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,
dark rum,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,
goldschlager,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
151 proof rum,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,
jack daniels,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
gin,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
peach vodka,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
vanilla vodka,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,
blue curacao,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,
kahlua,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,
absolut citron,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
coconut rum,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,
light rum,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
vodka,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
amaretto,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,
cranberry juice,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
applejack,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
white creme de menthe,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
absolut vodka,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
rum,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,
sweet vermouth,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
strawberry schnapps,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
scotch,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
apricot brandy,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
peppermint schnapps,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,
triple sec,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
grenadine,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,
southern comfort,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
orange bitters,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
lemon vodka,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,
blended whiskey,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
dry vermouth,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
water,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
sugar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
chocolate ice-cream,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,
sour mix,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
tea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
campari,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,
angelica root,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
orange juice,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
berries,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
apple cider,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
tequila,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
apple juice,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
7-up,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
maui,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
champagne,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
lemonade,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
jägermeister,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,
crown royal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
bailey's irish cream,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,
cantaloupe,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
milk,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,
strawberries,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
ice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
brandy,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
everclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
irish cream,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,
ale,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,
coffee liqueur,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,
guinness stout,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,
